------------------------------------------------------------------------------------------------------
********************************************原始数据信息**********************************************
------------------------------------------------------------------------------------------------------

118节点系统的计算结果如下：
最大允许迭代次数：30
计算精度：1e-05
节点数   线路支路数   变压器支路数    发动机个数   负荷个数
  118         191            9             54          101
<----------------------------------------------线路数据---------------------------------------------->

i    j    R                 X                 B/2               
1    2    0.03030000     0.09990000     0.01270000
1    3    0.01290000     0.04240000     0.00541000
4    5    0.00176000     0.00798000     0.00105000
3    5    0.02410000     0.10800000     0.01420000
5    6    0.01190000     0.05400000     0.00713000
6    7    0.00459000     0.02080000     0.00275000
8    9    0.00244000     0.03050000     0.58100000
9    10   0.00258000     0.03220000     0.61500000
4    11   0.02090000     0.06880000     0.00874000
5    11   0.02030000     0.06820000     0.00869000
11   12   0.00595000     0.01960000     0.00251000
2    12   0.01870000     0.06160000     0.00786000
3    12   0.04840000     0.16000000     0.02030000
7    12   0.00862000     0.03400000     0.00437000
11   13   0.02225000     0.07310000     0.00938000
12   14   0.02150000     0.07070000     0.00908000
13   15   0.07440000     0.24440000     0.03134000
14   15   0.05950000     0.19500000     0.02510000
12   16   0.02120000     0.08340000     0.01070000
15   17   0.01320000     0.04370000     0.02220000
16   17   0.04540000     0.18010000     0.02330000
17   18   0.01230000     0.05050000     0.00649000
18   19   0.01119000     0.04930000     0.00571000
19   20   0.02520000     0.11700000     0.01490000
15   19   0.01200000     0.03940000     0.00505000
20   21   0.01830000     0.08490000     0.01080000
21   22   0.02090000     0.09700000     0.01230000
22   23   0.03420000     0.15900000     0.02020000
23   24   0.01350000     0.04920000     0.02490000
23   25   0.01560000     0.08000000     0.04320000
25   27   0.03180000     0.16300000     0.08820000
27   28   0.01913000     0.08550000     0.01080000
28   29   0.02370000     0.09430000     0.01190000
8    30   0.00431000     0.05040000     0.25700000
26   30   0.00799000     0.08600000     0.45400000
17   31   0.04740000     0.15630000     0.01995000
29   31   0.01080000     0.03310000     0.00415000
23   32   0.03170000     0.11530000     0.05865000
31   32   0.02980000     0.09850000     0.01255000
27   32   0.02290000     0.07550000     0.00963000
15   33   0.03800000     0.12440000     0.01597000
19   34   0.07520000     0.24700000     0.03160000
35   36   0.00224000     0.01020000     0.00134000
35   37   0.01100000     0.04970000     0.00659000
33   37   0.04150000     0.14200000     0.01830000
34   36   0.00871000     0.02680000     0.00284000
34   37   0.00256000     0.00940000     0.00492000
37   39   0.03210000     0.10600000     0.01350000
37   40   0.05930000     0.16800000     0.02100000
30   38   0.00464000     0.05400000     0.21100000
39   40   0.01840000     0.06050000     0.00776000
40   41   0.01450000     0.04870000     0.00611000
40   42   0.05550000     0.18300000     0.02330000
41   42   0.04100000     0.13500000     0.01720000
43   44   0.06080000     0.24540000     0.03034000
34   43   0.04130000     0.16810000     0.02113000
44   45   0.02240000     0.09010000     0.01120000
45   46   0.04000000     0.13560000     0.01660000
46   47   0.03800000     0.12700000     0.01580000
46   48   0.06010000     0.18900000     0.02360000
47   49   0.01910000     0.06250000     0.00802000
42   49   0.07150000     0.32300000     0.04300000
42   49   0.07150000     0.32300000     0.04300000
45   49   0.06840000     0.18600000     0.02220000
48   49   0.01790000     0.05050000     0.00629000
49   50   0.02670000     0.07520000     0.00937000
49   51   0.04860000     0.13700000     0.01710000
51   52   0.02030000     0.05880000     0.00698000
52   53   0.04050000     0.16350000     0.02029000
53   54   0.02630000     0.12200000     0.01550000
49   54   0.07300000     0.28900000     0.03690000
49   54   0.08690000     0.29100000     0.03650000
54   55   0.01690000     0.07070000     0.01010000
54   56   0.00275000     0.00955000     0.00366000
55   56   0.00488000     0.01510000     0.00187000
56   57   0.03430000     0.09660000     0.01210000
50   57   0.04740000     0.13400000     0.01660000
56   58   0.03430000     0.09660000     0.01210000
51   58   0.02550000     0.07190000     0.00894000
54   59   0.05030000     0.22930000     0.02990000
56   59   0.08250000     0.25100000     0.02845000
56   59   0.08030000     0.23900000     0.02680000
55   59   0.04739000     0.21580000     0.02823000
59   60   0.03170000     0.14500000     0.01880000
59   61   0.03280000     0.15000000     0.01940000
60   61   0.00264000     0.01350000     0.00728000
60   62   0.01230000     0.05610000     0.00734000
61   62   0.00824000     0.03760000     0.00490000
63   64   0.00172000     0.02000000     0.10800000
38   65   0.00901000     0.09860000     0.52300000
64   65   0.00269000     0.03020000     0.19000000
49   66   0.01800000     0.09190000     0.01240000
49   66   0.01800000     0.09190000     0.01240000
62   66   0.04820000     0.21800000     0.02890000
62   67   0.02580000     0.11700000     0.01550000
66   67   0.02240000     0.10150000     0.01341000
65   68   0.00138000     0.01600000     0.31900000
47   69   0.08440000     0.27780000     0.03546000
49   69   0.09850000     0.32400000     0.04140000
69   70   0.03000000     0.12700000     0.06100000
24   70   0.00221000     0.41150000     0.05099000
70   71   0.00882000     0.03550000     0.00439000
24   72   0.04880000     0.19600000     0.02440000
71   72   0.04460000     0.18000000     0.02222000
71   73   0.00866000     0.04540000     0.00589000
70   74   0.04010000     0.13230000     0.01684000
70   75   0.04280000     0.14100000     0.01800000
69   75   0.04050000     0.12200000     0.06200000
74   75   0.01230000     0.04060000     0.00517000
76   77   0.04440000     0.14800000     0.01840000
69   77   0.03090000     0.10100000     0.05190000
75   77   0.06010000     0.19990000     0.02489000
77   78   0.00376000     0.01240000     0.00632000
78   79   0.00546000     0.02440000     0.00324000
77   80   0.01700000     0.04850000     0.02360000
77   80   0.02940000     0.10500000     0.01140000
79   80   0.01560000     0.07040000     0.00935000
68   81   0.00175000     0.02020000     0.40400000
77   82   0.02980000     0.08530000     0.04087000
82   83   0.01120000     0.03665000     0.01898000
83   84   0.06250000     0.13200000     0.01290000
83   85   0.04300000     0.14800000     0.01740000
84   85   0.03020000     0.06410000     0.00617000
85   86   0.03500000     0.12300000     0.01380000
86   87   0.02828000     0.20740000     0.02225000
85   88   0.02000000     0.10200000     0.01380000
85   89   0.02390000     0.17300000     0.02350000
88   89   0.01390000     0.07120000     0.00967000
89   90   0.05180000     0.18800000     0.02640000
89   90   0.02380000     0.09970000     0.05300000
90   91   0.02540000     0.08360000     0.01070000
89   92   0.00990000     0.05050000     0.02740000
89   92   0.03930000     0.15810000     0.02070000
91   92   0.03870000     0.12720000     0.01634000
